Player,NBA_C&S_PPS
Saddiq Bey,1.1203830369357046
Keegan Murray,1.132867132867133
Corey Kispert,1.169529499626587
Trey Murphy III,1.1905476369092274
Kyle Kuzma,1.0631178707224334
Cameron Johnson,1.2105666156202144
Lauri Markkanen,1.1072555205047319
Terrence Ross,1.156479217603912
Buddy Hield,1.3341523341523343
Jordan Poole,1.0993322203672788
Landry Shamet,1.2025531914893617
RJ Barrett,1.0723404255319149
Coby White,1.1384615384615384
Mikal Bridges,1.116218560277537
Jabari Smith II,1.051438535309503
Kevin Huerter,1.1984265734265733
Jaylen Brown,1.137466307277628
P.J. Washington,1.0956284153005464
Kentavious Caldwell-Pope,1.051837888784166
Jalen Green,1.0775047258979207
Josh Richardson,1.1590909090909092
Draymond Green,1.0383451059535822
Damian Lillard,1.190909090909091
Quentin Grimes,1.1617795753286149
Anthony Edwards,1.1625766871165644
Jaren Jackson Jr.,1.0670103092783505
Bradley Beal,1.2303719008264462
Marcus Smart,0.921875
Jaden McDaniels,1.09717868338558
Frank Kaminsky,1.046218487394958
Taurean Prince,1.182875264270613
Desmond Bane,1.3107104984093318
Devin Vassell,1.173219978746015
Tyler Herro,1.1987041036717063
Miles Bridges,1.0449069003285871
Harrison Barnes,1.1332599118942732
Lonzo Ball,1.1038674033149172
Karl-Anthony Towns,1.180709534368071
Donovan Mitchell,1.2127659574468086
Ben McLemore,1.063973063973064
Rodney Hood,1.1447811447811447
Santi Aldama,1.049493813273341
Tony Snell,1.1399317406143346
Jamal Murray,1.1870011402508551
Kelly Oubre Jr.,0.9623287671232876
Keldon Johnson,1.1305841924398625
Josh Hart,1.0689655172413792
Josh Giddey,0.9965397923875432
Gary Harris,1.1629802095459838
OG Anunoby,1.1455180442374855
Khris Middleton,1.2526315789473683
Aaron Nesmith,1.1161971830985915
Isaiah Joe,1.2211764705882353
Victor Oladipo,1.0424028268551238
De'Andre Hunter,1.1232227488151658
Franz Wagner,0.9988066825775657
Jae Crowder,1.0228915662650602
Payton Pritchard,1.2314250913520097
Trey Burke,1.1143911439114391
CJ McCollum,1.2676579925650557
Grant Williams,1.1701863354037267
Tyrese Maxey,1.3097014925373134
Obi Toppin,1.049813200498132
Gary Trent Jr.,1.2248743718592965
Jayson Tatum,1.2531645569620253
Dillon Brooks,1.167300380228137
LaMelo Ball,1.204574332909784
Devin Booker,1.159438775510204
Ayo Dosunmu,1.0790816326530612
Moses Moody,1.1040312093628089
Ziaire Williams,0.9895287958115183
Scottie Barnes,0.9565217391304348
Grayson Allen,1.242063492063492
Deni Avdija,1.0106100795755968
Otto Porter Jr.,1.1832669322709164
Immanuel Quickley,1.162450066577896
Dario Saric,1.104417670682731
Toumani Camara,1.0803212851405624
Isaac Okoro,1.0463215258855585
Cole Anthony,1.0602739726027397
Kristaps Porzingis,1.1085164835164836
Brandon Miller,1.1363636363636365
Terry Rozier III,1.1477900552486189
Aaron Wiggins,1.1509695290858726
Jalen Williams,1.1345609065155808
Herbert Jones,1.123404255319149
Jalen Suggs,1.03862660944206
Dion Waiters,1.1088825214899714
Evan Fournier,1.1939655172413792
Chet Holmgren,1.0940665701881331
Pascal Siakam,0.9897810218978103
Donte DiVincenzo,1.0689149560117301
Kelly Olynyk,1.1260997067448681
Allen Crabbe,1.2687224669603525
Darius Garland,1.1885125184094256
Andrew  Wiggins,1.0707964601769913
Trey Lyles,1.0237388724035608
Luke Kennard,1.301043219076006
Ochai Agbaji,1.0179372197309418
Stanley Johnson,0.9580209895052474
Malik Beasley,1.2153614457831325
Nickeil Alexander-Walker,1.0561456752655538
Brandon Ingram,1.1278538812785388
Andrew Nembhard,1.1336405529953917
De'Anthony Melton,1.1653666146645867
Keyonte George,1.0721003134796239
Davion Mitchell,1.099056603773585
Darius Bazley,0.9463722397476341
Miles McBride,1.1563981042654028
Justin Jackson,0.9523809523809523
Nik Stauskas,1.1476190476190475
Cade Cunningham,1.0669856459330143
Cason Wallace,1.1542207792207793
Svi Mykhailiuk,1.0811688311688312
Victor Wembanyama,1.0480132450331126
Matisse Thybulle,0.9983443708609272
Josh Jackson,0.9568106312292359
Max Christie,1.2707641196013288
Mario Hezonja,0.9666110183639399
Norman Powell,1.1218697829716193
Mike Scott,1.0419463087248322
Aaron Gordon,1.0151515151515151
Tyrese Haliburton,1.2575757575757576
Malcolm Brogdon,1.2747440273037542
Malik Monk,1.1546391752577319
John Collins,1.1597938144329898
Jaden Ivey,1.1379310344827587
Terrance Ferguson,1.0380622837370241
Lonnie Walker IV,1.0871080139372822
Jaylin Williams,1.1204188481675392
Patrick Williams,1.2318584070796461
Gradey Dick,1.0904255319148937
Anfernee Simons,1.3161634103019537
Mohamed Bamba,1.0748663101604279
Jonathan Kuminga,1.0268817204301075
Michael Porter Jr.,1.2540540540540541
Rui Hachimura,1.1155234657039712
Jalen Brunson,1.1880650994575046
Bobby Portis,1.1058394160583942
Dragan Bender,0.9597806215722121
Shaedon Sharpe,1.0904059040590406
Jordan Hawkins,1.0757855822550833
Brandin Podziemski,1.12987012987013
Isaiah Canaan,1.0726256983240223
Solomon Hill,1.0770676691729324
Damyean Dotson,1.1001890359168243
Nikola Jovic,1.036259541984733
Jaden Hardy,1.1942307692307692
Bennedict Mathurin,1.0615384615384615
Noah Clowney,0.9942196531791907
Josh Green,1.1271676300578035
Jerami Grant,0.9244186046511628
Marquese Chriss,0.8737864077669902
Justise Winslow,1.1031128404669261
Brice Sensabaugh,1.162426614481409
Ben Sheppard,1.035294117647059
Malaki Branham,1.0550098231827112
Sterling Brown,1.1294820717131475
Paolo Banchero,1.0783132530120483
Semi Ojeleye,1.056338028169014
Myles Turner,1.05668016194332
Emmanuel Mudiay,1.028397565922921
Christian Braun,1.0709939148073022
Tari Eason,1.1364562118126273
Joe Harris,1.2036659877800406
Chuma Okeke,1.0163265306122449
Kenyon Martin Jr.,1.0327868852459017
Caleb Houstan,1.1311475409836065
Jalen Wilson,1.045360824742268
Evan Mobley,0.9585062240663901
Jordan Nwora,1.14375
Aleksej Pokusevski,0.9665271966527197
Isaiah Stewart,1.0440251572327044
Jared Sullinger,0.8823529411764706
Kevin Knox,0.9789473684210527
Tim Hardaway Jr.,1.0296610169491525
Denzel Valentine,1.1201716738197425
Jalen McDaniels,1.064516129032258
Pat Connaughton,1.0280172413793103
Ja Morant,0.9935064935064936
Jalen Smith,0.9935064935064936
Jeremiah Robinson-Earl,1.0584415584415585
Justin Jackson,0.9673202614379085
Collin Sexton,1.2407002188183807
Dyson Daniels,0.9342105263157895
Josh Okogie,0.8333333333333334
Dennis Schroder,1.1024498886414253
Monte Morris,1.1959910913140313
Bilal Coulibaly,0.9101123595505618
Derrick White,1.0977272727272727
Moritz Wagner,0.9679633867276888
Peyton Watson,1.103448275862069
Jeremy Lamb,1.0208333333333333
Zach LaVine,1.2638888888888888
Killian Hayes,0.9048723897911833
Jalen Johnson,1.0092807424593968
Nikola Jokic,1.1468531468531469
Caris LeVert,1.0327868852459017
Jeremy Sochan,0.8964705882352941
DAngelo Russell,1.0941176470588236
Trae Young,1.2423529411764707
Andre Roberson,0.8285714285714286
Keon Johnson,1.009546539379475
Thon Maker,0.9545454545454546
Justin Anderson,0.9568345323741008
Jake LaRavia,1.106024096385542
Shake Milton,1.1666666666666667
Jevon Carter,1.1304347826086956
Luka Doncic,1.0266990291262137
Austin Rivers,1.104878048780488
Aaron Holiday,1.1985294117647058
Furkan Korkmaz,1.2074074074074075
Jonathan Isaac,1.007462686567164
Dante Exum,0.9645569620253165
David Roddy,0.9593908629441624
Troy Brown Jr.,1.081841432225064
Juan Hernangomez,1.0664961636828645
Theo Maledon,0.9640102827763496
Terance Mann,1.2339331619537275
Jaylen Nowell,0.9331619537275064
Kevin Porter Jr.,1.2448453608247423
Dalano Banton,1.0103626943005182
Cam Thomas,1.1484375
PJ Hairston,0.905511811023622
Vince Williams Jr.,1.0026737967914439
Julian Strawther,0.9812332439678284
Jaime Jaquez Jr.,0.9784366576819407
Nassir Little,1.0
Anthony Black,1.0901639344262295
Frank Jackson,1.080332409972299
Sam Merrill,1.2486033519553073
Bruce Brown,1.0139664804469273
Ty Jerome,1.0449438202247192
Will Barton,0.9185393258426966
Cedi Osman,1.0593220338983051
GG Jackson,1.0568181818181819
Meyers Leonard,1.21875
Devonte' Graham,1.1676136363636365
Sandro Mamukelashvili,1.0256410256410255
Alperen Sengun,0.8879310344827587
Precious Achiuwa,0.968299711815562
Georges Niang,1.1618497109826589
Kris Murray,0.782608695652174
Michael Carter-Williams,0.7761627906976745
Tyrese Martin,1.1107871720116618
Shabazz Muhammad,0.9533527696793003
Chris Duarte,1.1140350877192982
De Aaron Fox,1.0746268656716418
Jerian Grant,1.0648148148148149
Malachi Flynn,1.0841121495327102
Tre Mann,1.135646687697161
Frank Ntilikina,1.0315457413249212
Wendell Carter Jr.,0.9047619047619048
Jarace Walker,1.1904761904761905
Jabari Walker,0.9267515923566879
Elfrid Payton,0.9201277955271565
Shabazz Napier,1.2692307692307692
Shai Gilgeous-Alexander,1.2233009708737863
Isaiah Livers,1.0679611650485437
Giannis Antetokounmpo,0.8252427184466019
Talen Horton-Tucker,0.8376623376623377
Ryan Kelly,0.9411764705882353
Joel Embiid,0.9836065573770492
Tre Jones,0.9769736842105263
Dennis Smith Jr.,1.006578947368421
Scoot Henderson,1.0198019801980198
Timothé Luwawu-Cabarrot,0.9797979797979798
Maurice Harkless,0.9310344827586207
Kessler Edwards,1.1107266435986158
Domantas Sabonis,0.9446366782006921
Marvin Bagley III,0.8541666666666666
Abdel Nader,1.0600706713780919
Jabari Parker,1.075268817204301
Kendall Marshall,1.1263537906137184
Kris Dunn,0.8664259927797834
Zach Collins,0.9054545454545454
Eric Paschall,1.0036363636363637
Rodions Kurucs,0.9416058394160584
Sam Dekker,0.8666666666666667
Doug McDermott,1.304832713754647
Tyus Jones,1.0746268656716418
Cody Martin,0.9135338345864662
Jake Layman,0.9056603773584906
D.J. Wilson,0.9581749049429658
Cam Whitmore,1.202290076335878
DeAndre Bembry,0.813953488372093
James Ennis,1.0856031128404668
Marcus Thornton,1.0546875
Ryan Rollins,1.2191235059760956
Spencer Dinwiddie,1.0573770491803278
TJ Warren,0.9259259259259259
Alex Abrines,1.175
Delon Wright,1.1
Tyler Dorsey,1.0875
Dwayne Bacon,0.9875
Rashad Vaughn,0.9414225941422594
Jarrett Culver,0.8158995815899581
Jeff Taylor,0.9957983193277311
Cameron Payne,1.0379746835443038
Omari Spellman,1.1025641025641026
Julian Phillips,0.9743589743589743
Andrew Nicholson,1.0256410256410255
Reggie Bullock,1.125
JT Thor,0.987012987012987
Zeke Nnaji,1.1266375545851528
Ousmane Dieng,0.982532751091703
Hamidou Diallo,0.7894736842105263
Goga Bitadze,0.75
AJ Griffin,1.0316742081447965
Bogdan Bogdanovic,1.1590909090909092
Jett Howard,0.9545454545454546
Terrence Jones,0.9444444444444444
Dalen Terry,0.9488372093023256
KJ McDaniels,0.9339622641509434
Xavier Tillman,0.8530805687203792
Isaiah Roby,1.0240384615384615
Thomas Bryant,1.1067961165048543
Jerome Robinson,0.9902912621359223
Tony Wroten,0.8088235294117647
Paul Zipser,1.1029411764705883
Keita Bates-Diop,0.9264705882352942
Bryce McGowens,1.0544554455445545
Chimezie Metu,0.9356435643564357
Sekou Doumbouya,0.735
Taylor Hendricks,1.125
John Jenkins,1.125
Amen Thompson,0.676923076923077
Glenn Robinson III,1.2061855670103092
Admiral Schofield,1.0259067357512954
Wesley Iwundu,0.9792746113989638
Mike Muscala,1.126984126984127
Patrick Baldwin Jr.,1.1451612903225807
Romeo Langford,0.8736263736263736
Andrew Harrison,0.9281767955801105
Josh Christopher,0.8522727272727273
Marcus Sasser,1.1079545454545454
Brandon Clarke,0.9137931034482759
Jarell Martin,1.0517241379310345
Brandon Boston Jr.,1.0689655172413792
Jared Butler,1.0813953488372092
Rondae Hollis-Jefferson,0.6705882352941176
Joffrey Lauvergne,0.8802395209580839
Kira Lewis Jr.,0.9636363636363636
Ausar Thompson,0.6257668711656442
MarJon Beauchamp,1.0925925925925926
Shane Larkin,1.062111801242236
Markel Brown,0.88125
Raul Neto,1.150943396226415
Mouhamed Gueye,0.821656050955414
Luka Garza,0.9936305732484076
Dejounte Murray,1.1346153846153846
Blake Wesley,0.9155844155844156
Vit Krejci,1.0728476821192052
Bones Hyland,1.0
Rayan Rupert,0.92
Edmond Sumner,1.0268456375838926
Richaun Holmes,0.8013698630136986
James Young,0.8811188811188811
Dylan Windler,0.9440559440559441
CJ Elleby,0.8723404255319149
Jalen Pickett,1.20863309352518
Cam Reddish,0.9280575539568345
Noah Vonleh,0.8796992481203008
Robbie Hummel,1.0681818181818181
Josh Minott,1.16793893129771
Sidy Cissoko,0.8837209302325582
Andre Jackson Jr.,1.0546875
Anthony Bennett,0.7619047619047619
Josh Huestis,0.9344262295081968
Darius Miller,1.0819672131147542
Joshua Primo,0.9173553719008265
Anthony Davis,0.8925619834710744
Elie Okobo,1.025
Jordan Walsh,1.075
Henry Ellenson,1.075
Kostas Papanikolaou,0.957983193277311
Perry Jones,0.8823529411764706
Archie Goodwin,0.7758620689655172
Isaac Bonga,0.9827586206896551
Julius Randle,0.8495575221238938
Doron Lamb,1.125
Orlando Johnson,1.0178571428571428
Johnny Davis,0.9107142857142857
Tyler Ennis,0.8918918918918919
Markelle Fultz,0.7909090909090909
Olivier-Maxence Prosper,0.8454545454545455
Hunter Tyson,0.8454545454545455
Kobe Brown,0.8055555555555556
James Bouknight,1.0373831775700935
Quincy Acy,1.0093457943925233
Jonah Bolden,1.0093457943925233
Skylar Mays,1.0373831775700935
Sergey Karasev,0.8857142857142857
Miye Oni,1.0285714285714285
Jaylen Clark,1.1067961165048543
Chandler Hutchison,0.9320388349514563
